Product,Overall Rating,Review
"REDMI Note 14 Pro+ 5G (Titan Black, 512 GB)  (12 GB RAM)",4.3,...Battery performance super Back Camera super Front camera super Call recording superREAD MORE
"REDMI Note 14 Pro+ 5G (Titan Black, 512 GB)  (12 GB RAM)",4.3,...the camera is a little low quality...otherwise everything is perfect on thisREAD MORE
"REDMI Note 14 Pro+ 5G (Titan Black, 512 GB)  (12 GB RAM)",4.3,...almost 1 and a half days Or more than that. The camera is not that great. The look and feel is good. I am not a fanREAD MORE
"REDMI Note 14 Pro+ 5G (Titan Black, 512 GB)  (12 GB RAM)",4.3,...month of use. Excellent work from Redmi. Camera excellent. Battery backup awesome. Even in Winter TrekREAD MORE
"REDMI Note 14 Pro+ 5G (Titan Black, 512 GB)  (12 GB RAM)",4.3,...Good phone. The camera could have been better.READ MORE
"REDMI Note 14 Pro+ 5G (Titan Black, 512 GB)  (12 GB RAM)",4.3,...Best mobile....nice camera... battery performance super. ... displayREAD MORE
"REDMI Note 14 Pro+ 5G (Titan Black, 512 GB)  (12 GB RAM)",4.3,...Stunning battery performance. Good cameraREAD MORE
"REDMI Note 14 Pro+ 5G (Titan Black, 512 GB)  (12 GB RAM)",4.3,...Camera performance agin betterREAD MORE
"REDMI Note 14 Pro+ 5G (Titan Black, 512 GB)  (12 GB RAM)",4.3,"...Product is good specially 90 watt charger, cam is good. Over all new phone is good. Only batteryREAD MORE"
"REDMI Note 14 Pro+ 5G (Titan Black, 512 GB)  (12 GB RAM)",4.3,"...Basic camera application opens up slowly. So, performance wise not as expectedREAD MORE"
"REDMI Note 14 Pro+ 5G (Titan Black, 512 GB)  (12 GB RAM)",4.3,...Very poor camera performance...Ufs 2.1 on 512gb device dam slow.. requestREAD MORE
"REDMI Note 14 Pro+ 5G (Titan Black, 512 GB)  (12 GB RAM)",4.3,...snapdragon processor and AI camera features.Amoled curved display and camera quality is very good.Storage And Ram is best at its versionREAD MORE
"REDMI Note 14 Pro+ 5G (Titan Black, 512 GB)  (12 GB RAM)",4.3,"...Excellent Battery,Super Camera with clear zooming quality, Just Love it.READ MORE"
"REDMI Note 14 Pro+ 5G (Titan Black, 512 GB)  (12 GB RAM)",4.3,...Not value for money.Camra quality is very poorREAD MORE
"REDMI Note 14 Pro+ 5G (Titan Black, 512 GB)  (12 GB RAM)",4.3,...a review after almost a month of usage. Excellent phone with camera and battery perspective. Superb in performance and display factorREAD MORE
"REDMI Note 14 Pro+ 5G (Titan Black, 512 GB)  (12 GB RAM)",4.3,...Camera and app development are poorREAD MORE
"REDMI Note 14 Pro+ 5G (Titan Black, 512 GB)  (12 GB RAM)",4.3,...Supar photoREAD MORE
"REDMI Note 14 Pro+ 5G (Titan Black, 512 GB)  (12 GB RAM)",4.3,"...Terrific purchase. Battery, camera, quality, screen resolution all specifications are superbREAD MORE"
"REDMI Note 14 Pro+ 5G (Titan Black, 512 GB)  (12 GB RAM)",4.3,...The camera is mind blowing and performance alsoREAD MORE
"REDMI Note 14 Pro+ 5G (Titan Black, 512 GB)  (12 GB RAM)",4.3,...Battery performance super Back Camera super Front camera super Call recording superREAD MORE
"REDMI Note 14 Pro+ 5G (Titan Black, 512 GB)  (12 GB RAM)",4.3,...the camera is a little low quality...otherwise everything is perfect on thisREAD MORE
"REDMI Note 14 Pro+ 5G (Titan Black, 512 GB)  (12 GB RAM)",4.3,...almost 1 and a half days Or more than that. The camera is not that great. The look and feel is good. I am not a fanREAD MORE
"REDMI Note 14 Pro+ 5G (Titan Black, 512 GB)  (12 GB RAM)",4.3,...month of use. Excellent work from Redmi. Camera excellent. Battery backup awesome. Even in Winter TrekREAD MORE
"REDMI Note 14 Pro+ 5G (Titan Black, 512 GB)  (12 GB RAM)",4.3,...Good phone. The camera could have been better.READ MORE
"REDMI Note 14 Pro+ 5G (Titan Black, 512 GB)  (12 GB RAM)",4.3,...Best mobile....nice camera... battery performance super. ... displayREAD MORE
"REDMI Note 14 Pro+ 5G (Titan Black, 512 GB)  (12 GB RAM)",4.3,...Stunning battery performance. Good cameraREAD MORE
"REDMI Note 14 Pro+ 5G (Titan Black, 512 GB)  (12 GB RAM)",4.3,...Camera performance agin betterREAD MORE
"REDMI Note 14 Pro+ 5G (Titan Black, 512 GB)  (12 GB RAM)",4.3,"...Product is good specially 90 watt charger, cam is good. Over all new phone is good. Only batteryREAD MORE"
"REDMI Note 14 Pro+ 5G (Titan Black, 512 GB)  (12 GB RAM)",4.3,"...Basic camera application opens up slowly. So, performance wise not as expectedREAD MORE"
"REDMI Note 14 Pro+ 5G (Titan Black, 512 GB)  (12 GB RAM)",4.3,...Very poor camera performance...Ufs 2.1 on 512gb device dam slow.. requestREAD MORE
"REDMI Note 14 Pro+ 5G (Titan Black, 512 GB)  (12 GB RAM)",4.3,...snapdragon processor and AI camera features.Amoled curved display and camera quality is very good.Storage And Ram is best at its versionREAD MORE
"REDMI Note 14 Pro+ 5G (Titan Black, 512 GB)  (12 GB RAM)",4.3,"...Excellent Battery,Super Camera with clear zooming quality, Just Love it.READ MORE"
"REDMI Note 14 Pro+ 5G (Titan Black, 512 GB)  (12 GB RAM)",4.3,...Not value for money.Camra quality is very poorREAD MORE
"REDMI Note 14 Pro+ 5G (Titan Black, 512 GB)  (12 GB RAM)",4.3,...a review after almost a month of usage. Excellent phone with camera and battery perspective. Superb in performance and display factorREAD MORE
"REDMI Note 14 Pro+ 5G (Titan Black, 512 GB)  (12 GB RAM)",4.3,...Camera and app development are poorREAD MORE
"REDMI Note 14 Pro+ 5G (Titan Black, 512 GB)  (12 GB RAM)",4.3,...Supar photoREAD MORE
"REDMI Note 14 Pro+ 5G (Titan Black, 512 GB)  (12 GB RAM)",4.3,"...Terrific purchase. Battery, camera, quality, screen resolution all specifications are superbREAD MORE"
"REDMI Note 14 Pro+ 5G (Titan Black, 512 GB)  (12 GB RAM)",4.3,...The camera is mind blowing and performance alsoREAD MORE
"REDMI Note 14 Pro+ 5G (Titan Black, 512 GB)  (12 GB RAM)",4.3,...Battery performance super Back Camera super Front camera super Call recording superREAD MORE
"REDMI Note 14 Pro+ 5G (Titan Black, 512 GB)  (12 GB RAM)",4.3,...the camera is a little low quality...otherwise everything is perfect on thisREAD MORE
"REDMI Note 14 Pro+ 5G (Titan Black, 512 GB)  (12 GB RAM)",4.3,...almost 1 and a half days Or more than that. The camera is not that great. The look and feel is good. I am not a fanREAD MORE
"REDMI Note 14 Pro+ 5G (Titan Black, 512 GB)  (12 GB RAM)",4.3,...month of use. Excellent work from Redmi. Camera excellent. Battery backup awesome. Even in Winter TrekREAD MORE
"REDMI Note 14 Pro+ 5G (Titan Black, 512 GB)  (12 GB RAM)",4.3,...Good phone. The camera could have been better.READ MORE
"REDMI Note 14 Pro+ 5G (Titan Black, 512 GB)  (12 GB RAM)",4.3,...Best mobile....nice camera... battery performance super. ... displayREAD MORE
"REDMI Note 14 Pro+ 5G (Titan Black, 512 GB)  (12 GB RAM)",4.3,...Stunning battery performance. Good cameraREAD MORE
"REDMI Note 14 Pro+ 5G (Titan Black, 512 GB)  (12 GB RAM)",4.3,...Camera performance agin betterREAD MORE
"REDMI Note 14 Pro+ 5G (Titan Black, 512 GB)  (12 GB RAM)",4.3,"...Product is good specially 90 watt charger, cam is good. Over all new phone is good. Only batteryREAD MORE"
"REDMI Note 14 Pro+ 5G (Titan Black, 512 GB)  (12 GB RAM)",4.3,"...Basic camera application opens up slowly. So, performance wise not as expectedREAD MORE"
"REDMI Note 14 Pro+ 5G (Titan Black, 512 GB)  (12 GB RAM)",4.3,...Very poor camera performance...Ufs 2.1 on 512gb device dam slow.. requestREAD MORE
"REDMI Note 14 Pro+ 5G (Titan Black, 512 GB)  (12 GB RAM)",4.3,...snapdragon processor and AI camera features.Amoled curved display and camera quality is very good.Storage And Ram is best at its versionREAD MORE
"REDMI Note 14 Pro+ 5G (Titan Black, 512 GB)  (12 GB RAM)",4.3,"...Excellent Battery,Super Camera with clear zooming quality, Just Love it.READ MORE"
"REDMI Note 14 Pro+ 5G (Titan Black, 512 GB)  (12 GB RAM)",4.3,...Not value for money.Camra quality is very poorREAD MORE
"REDMI Note 14 Pro+ 5G (Titan Black, 512 GB)  (12 GB RAM)",4.3,...a review after almost a month of usage. Excellent phone with camera and battery perspective. Superb in performance and display factorREAD MORE
"REDMI Note 14 Pro+ 5G (Titan Black, 512 GB)  (12 GB RAM)",4.3,...Camera and app development are poorREAD MORE
"REDMI Note 14 Pro+ 5G (Titan Black, 512 GB)  (12 GB RAM)",4.3,...Supar photoREAD MORE
"REDMI Note 14 Pro+ 5G (Titan Black, 512 GB)  (12 GB RAM)",4.3,"...Terrific purchase. Battery, camera, quality, screen resolution all specifications are superbREAD MORE"
"REDMI Note 14 Pro+ 5G (Titan Black, 512 GB)  (12 GB RAM)",4.3,...The camera is mind blowing and performance alsoREAD MORE
"REDMI Note 14 Pro+ 5G (Titan Black, 512 GB)  (12 GB RAM)",4.3,...Battery performance super Back Camera super Front camera super Call recording superREAD MORE
"REDMI Note 14 Pro+ 5G (Titan Black, 512 GB)  (12 GB RAM)",4.3,...the camera is a little low quality...otherwise everything is perfect on thisREAD MORE
"REDMI Note 14 Pro+ 5G (Titan Black, 512 GB)  (12 GB RAM)",4.3,...almost 1 and a half days Or more than that. The camera is not that great. The look and feel is good. I am not a fanREAD MORE
"REDMI Note 14 Pro+ 5G (Titan Black, 512 GB)  (12 GB RAM)",4.3,...month of use. Excellent work from Redmi. Camera excellent. Battery backup awesome. Even in Winter TrekREAD MORE
"REDMI Note 14 Pro+ 5G (Titan Black, 512 GB)  (12 GB RAM)",4.3,...Good phone. The camera could have been better.READ MORE
"REDMI Note 14 Pro+ 5G (Titan Black, 512 GB)  (12 GB RAM)",4.3,...Best mobile....nice camera... battery performance super. ... displayREAD MORE
"REDMI Note 14 Pro+ 5G (Titan Black, 512 GB)  (12 GB RAM)",4.3,...Stunning battery performance. Good cameraREAD MORE
"REDMI Note 14 Pro+ 5G (Titan Black, 512 GB)  (12 GB RAM)",4.3,...Camera performance agin betterREAD MORE
"REDMI Note 14 Pro+ 5G (Titan Black, 512 GB)  (12 GB RAM)",4.3,"...Product is good specially 90 watt charger, cam is good. Over all new phone is good. Only batteryREAD MORE"
"REDMI Note 14 Pro+ 5G (Titan Black, 512 GB)  (12 GB RAM)",4.3,"...Basic camera application opens up slowly. So, performance wise not as expectedREAD MORE"
"REDMI Note 14 Pro+ 5G (Titan Black, 512 GB)  (12 GB RAM)",4.3,...Very poor camera performance...Ufs 2.1 on 512gb device dam slow.. requestREAD MORE
"REDMI Note 14 Pro+ 5G (Titan Black, 512 GB)  (12 GB RAM)",4.3,...snapdragon processor and AI camera features.Amoled curved display and camera quality is very good.Storage And Ram is best at its versionREAD MORE
"REDMI Note 14 Pro+ 5G (Titan Black, 512 GB)  (12 GB RAM)",4.3,"...Excellent Battery,Super Camera with clear zooming quality, Just Love it.READ MORE"
"REDMI Note 14 Pro+ 5G (Titan Black, 512 GB)  (12 GB RAM)",4.3,...Not value for money.Camra quality is very poorREAD MORE
"REDMI Note 14 Pro+ 5G (Titan Black, 512 GB)  (12 GB RAM)",4.3,...a review after almost a month of usage. Excellent phone with camera and battery perspective. Superb in performance and display factorREAD MORE
"REDMI Note 14 Pro+ 5G (Titan Black, 512 GB)  (12 GB RAM)",4.3,...Camera and app development are poorREAD MORE
"REDMI Note 14 Pro+ 5G (Titan Black, 512 GB)  (12 GB RAM)",4.3,...Supar photoREAD MORE
"REDMI Note 14 Pro+ 5G (Titan Black, 512 GB)  (12 GB RAM)",4.3,"...Terrific purchase. Battery, camera, quality, screen resolution all specifications are superbREAD MORE"
"REDMI Note 14 Pro+ 5G (Titan Black, 512 GB)  (12 GB RAM)",4.3,...The camera is mind blowing and performance alsoREAD MORE
"Motorola g64 5G (Berry Red, 256 GB)  (12 GB RAM)",4.2,...Overall phone is good but it disappoint me in camera quality.READ MORE
"Motorola g64 5G (Berry Red, 256 GB)  (12 GB RAM)",4.2,...Poor rear and front camera looks like 7k mobile cameraREAD MORE
"Motorola g64 5G (Berry Red, 256 GB)  (12 GB RAM)",4.2,"...Camera quality very poor quality but lot of function available on camera, mobile in average not a best or not badREAD MORE"
"Motorola g64 5G (Berry Red, 256 GB)  (12 GB RAM)",4.2,"...The camera of the mobile is very bad, 50 megapixels is equal to a 2 megapixel cameraREAD MORE"
"Motorola g64 5G (Berry Red, 256 GB)  (12 GB RAM)",4.2,...DECENT SOUND EXPERIENCE IS ALSO GOOD CAMERA QUALITY - SUPERB  Smoothly Running All Apps Overall GoodREAD MORE
"Motorola g64 5G (Berry Red, 256 GB)  (12 GB RAM)",4.2,"...phone 3 month plus.May opinion is--1.Camera quality good,but zoom photo quality bad.2. Battery life 1 day like 5000mh.3.DisplayREAD MORE"
"Motorola g64 5G (Berry Red, 256 GB)  (12 GB RAM)",4.2,...Camera qualityPubgPerformance Every thing is goodREAD MORE
"Motorola g64 5G (Berry Red, 256 GB)  (12 GB RAM)",4.2,...Even if you got huge discount then also. Camera quality is VGA. battery backup is not even half day. WorstREAD MORE
"Motorola g64 5G (Berry Red, 256 GB)  (12 GB RAM)",4.2,"...Camera : very good, clicks beautiful picturesBattery : drains but fast maybe not optimisedREAD MORE"
"Motorola g64 5G (Berry Red, 256 GB)  (12 GB RAM)",4.2,...Good Mobile 📲📱 Value of money oney....A+ Camera QualitREAD MORE
"Motorola g64 5G (Berry Red, 256 GB)  (12 GB RAM)",4.2,...Trust me guys it is a very good phone..  camera quality is awesome..READ MORE
"Motorola g64 5G (Berry Red, 256 GB)  (12 GB RAM)",4.2,...7. In back camera only two options in 12mp and 50 mp capture.READ MORE
"Motorola g64 5G (Berry Red, 256 GB)  (12 GB RAM)",4.2,"...worrest mobile at performance, phone heatingPhone camera clarity very poorIam unexpected this mobile.READ MORE"
"Motorola g64 5G (Berry Red, 256 GB)  (12 GB RAM)",4.2,...Camera needs alot improvement the pictures clicked are grainy especially in night and even in day they are not very detailedREAD MORE
"Motorola g64 5G (Berry Red, 256 GB)  (12 GB RAM)",4.2,...Camera quality best in segmentREAD MORE
"Motorola g64 5G (Berry Red, 256 GB)  (12 GB RAM)",4.2,...Smooth performance Speaker 🔊🔊 👌Camera zoom average means ok okOverall good phone in budREAD MORE
"Motorola g64 5G (Berry Red, 256 GB)  (12 GB RAM)",4.2,"... 7k or 8 k, the camera will perform better than this handset cameraREAD MORE"
"Motorola g64 5G (Berry Red, 256 GB)  (12 GB RAM)",4.2,"...Overall phone is good, but not the camera camera quality is so poor 📷 camera READ MORE"
"Motorola g64 5G (Berry Red, 256 GB)  (12 GB RAM)",4.2,...The camera quality is worst.READ MORE
"Motorola g64 5G (Berry Red, 256 GB)  (12 GB RAM)",4.2,...This phone looks very good. The camera quality is also good. The display quality is also good and itsREAD MORE
"Motorola g64 5G (Berry Red, 256 GB)  (12 GB RAM)",4.2,...Overall phone is good but it disappoint me in camera quality.READ MORE
"Motorola g64 5G (Berry Red, 256 GB)  (12 GB RAM)",4.2,...Poor rear and front camera looks like 7k mobile cameraREAD MORE
"Motorola g64 5G (Berry Red, 256 GB)  (12 GB RAM)",4.2,"...Camera quality very poor quality but lot of function available on camera, mobile in average not a best or not badREAD MORE"
"Motorola g64 5G (Berry Red, 256 GB)  (12 GB RAM)",4.2,"...The camera of the mobile is very bad, 50 megapixels is equal to a 2 megapixel cameraREAD MORE"
"Motorola g64 5G (Berry Red, 256 GB)  (12 GB RAM)",4.2,...DECENT SOUND EXPERIENCE IS ALSO GOOD CAMERA QUALITY - SUPERB  Smoothly Running All Apps Overall GoodREAD MORE
"Motorola g64 5G (Berry Red, 256 GB)  (12 GB RAM)",4.2,"...phone 3 month plus.May opinion is--1.Camera quality good,but zoom photo quality bad.2. Battery life 1 day like 5000mh.3.DisplayREAD MORE"
"Motorola g64 5G (Berry Red, 256 GB)  (12 GB RAM)",4.2,...Camera qualityPubgPerformance Every thing is goodREAD MORE
"Motorola g64 5G (Berry Red, 256 GB)  (12 GB RAM)",4.2,...Even if you got huge discount then also. Camera quality is VGA. battery backup is not even half day. WorstREAD MORE
"Motorola g64 5G (Berry Red, 256 GB)  (12 GB RAM)",4.2,"...Camera : very good, clicks beautiful picturesBattery : drains but fast maybe not optimisedREAD MORE"
"Motorola g64 5G (Berry Red, 256 GB)  (12 GB RAM)",4.2,...Good Mobile 📲📱 Value of money oney....A+ Camera QualitREAD MORE
"Motorola g64 5G (Berry Red, 256 GB)  (12 GB RAM)",4.2,...Trust me guys it is a very good phone..  camera quality is awesome..READ MORE
"Motorola g64 5G (Berry Red, 256 GB)  (12 GB RAM)",4.2,...7. In back camera only two options in 12mp and 50 mp capture.READ MORE
"Motorola g64 5G (Berry Red, 256 GB)  (12 GB RAM)",4.2,"...worrest mobile at performance, phone heatingPhone camera clarity very poorIam unexpected this mobile.READ MORE"
"Motorola g64 5G (Berry Red, 256 GB)  (12 GB RAM)",4.2,...Camera needs alot improvement the pictures clicked are grainy especially in night and even in day they are not very detailedREAD MORE
"Motorola g64 5G (Berry Red, 256 GB)  (12 GB RAM)",4.2,...Camera quality best in segmentREAD MORE
"Motorola g64 5G (Berry Red, 256 GB)  (12 GB RAM)",4.2,...Smooth performance Speaker 🔊🔊 👌Camera zoom average means ok okOverall good phone in budREAD MORE
"Motorola g64 5G (Berry Red, 256 GB)  (12 GB RAM)",4.2,"... 7k or 8 k, the camera will perform better than this handset cameraREAD MORE"
"Motorola g64 5G (Berry Red, 256 GB)  (12 GB RAM)",4.2,"...Overall phone is good, but not the camera camera quality is so poor 📷 camera READ MORE"
"Motorola g64 5G (Berry Red, 256 GB)  (12 GB RAM)",4.2,...The camera quality is worst.READ MORE
"Motorola g64 5G (Berry Red, 256 GB)  (12 GB RAM)",4.2,...This phone looks very good. The camera quality is also good. The display quality is also good and itsREAD MORE
"Motorola g64 5G (Berry Red, 256 GB)  (12 GB RAM)",4.2,...Overall phone is good but it disappoint me in camera quality.READ MORE
"Motorola g64 5G (Berry Red, 256 GB)  (12 GB RAM)",4.2,...Poor rear and front camera looks like 7k mobile cameraREAD MORE
"Motorola g64 5G (Berry Red, 256 GB)  (12 GB RAM)",4.2,"...Camera quality very poor quality but lot of function available on camera, mobile in average not a best or not badREAD MORE"
"Motorola g64 5G (Berry Red, 256 GB)  (12 GB RAM)",4.2,"...The camera of the mobile is very bad, 50 megapixels is equal to a 2 megapixel cameraREAD MORE"
"Motorola g64 5G (Berry Red, 256 GB)  (12 GB RAM)",4.2,...DECENT SOUND EXPERIENCE IS ALSO GOOD CAMERA QUALITY - SUPERB  Smoothly Running All Apps Overall GoodREAD MORE
"Motorola g64 5G (Berry Red, 256 GB)  (12 GB RAM)",4.2,"...phone 3 month plus.May opinion is--1.Camera quality good,but zoom photo quality bad.2. Battery life 1 day like 5000mh.3.DisplayREAD MORE"
"Motorola g64 5G (Berry Red, 256 GB)  (12 GB RAM)",4.2,...Camera qualityPubgPerformance Every thing is goodREAD MORE
"Motorola g64 5G (Berry Red, 256 GB)  (12 GB RAM)",4.2,...Even if you got huge discount then also. Camera quality is VGA. battery backup is not even half day. WorstREAD MORE
"Motorola g64 5G (Berry Red, 256 GB)  (12 GB RAM)",4.2,"...Camera : very good, clicks beautiful picturesBattery : drains but fast maybe not optimisedREAD MORE"
"Motorola g64 5G (Berry Red, 256 GB)  (12 GB RAM)",4.2,...Good Mobile 📲📱 Value of money oney....A+ Camera QualitREAD MORE
"Motorola g64 5G (Berry Red, 256 GB)  (12 GB RAM)",4.2,...Trust me guys it is a very good phone..  camera quality is awesome..READ MORE
"Motorola g64 5G (Berry Red, 256 GB)  (12 GB RAM)",4.2,...7. In back camera only two options in 12mp and 50 mp capture.READ MORE
"Motorola g64 5G (Berry Red, 256 GB)  (12 GB RAM)",4.2,"...worrest mobile at performance, phone heatingPhone camera clarity very poorIam unexpected this mobile.READ MORE"
"Motorola g64 5G (Berry Red, 256 GB)  (12 GB RAM)",4.2,...Camera needs alot improvement the pictures clicked are grainy especially in night and even in day they are not very detailedREAD MORE
"Motorola g64 5G (Berry Red, 256 GB)  (12 GB RAM)",4.2,...Camera quality best in segmentREAD MORE
"Motorola g64 5G (Berry Red, 256 GB)  (12 GB RAM)",4.2,...Smooth performance Speaker 🔊🔊 👌Camera zoom average means ok okOverall good phone in budREAD MORE
"Motorola g64 5G (Berry Red, 256 GB)  (12 GB RAM)",4.2,"... 7k or 8 k, the camera will perform better than this handset cameraREAD MORE"
"Motorola g64 5G (Berry Red, 256 GB)  (12 GB RAM)",4.2,"...Overall phone is good, but not the camera camera quality is so poor 📷 camera READ MORE"
"Motorola g64 5G (Berry Red, 256 GB)  (12 GB RAM)",4.2,...The camera quality is worst.READ MORE
"Motorola g64 5G (Berry Red, 256 GB)  (12 GB RAM)",4.2,...This phone looks very good. The camera quality is also good. The display quality is also good and itsREAD MORE
"Motorola g64 5G (Berry Red, 256 GB)  (12 GB RAM)",4.2,...Overall phone is good but it disappoint me in camera quality.READ MORE
"Motorola g64 5G (Berry Red, 256 GB)  (12 GB RAM)",4.2,...Poor rear and front camera looks like 7k mobile cameraREAD MORE
"Motorola g64 5G (Berry Red, 256 GB)  (12 GB RAM)",4.2,"...Camera quality very poor quality but lot of function available on camera, mobile in average not a best or not badREAD MORE"
"Motorola g64 5G (Berry Red, 256 GB)  (12 GB RAM)",4.2,"...The camera of the mobile is very bad, 50 megapixels is equal to a 2 megapixel cameraREAD MORE"
"Motorola g64 5G (Berry Red, 256 GB)  (12 GB RAM)",4.2,...DECENT SOUND EXPERIENCE IS ALSO GOOD CAMERA QUALITY - SUPERB  Smoothly Running All Apps Overall GoodREAD MORE
"Motorola g64 5G (Berry Red, 256 GB)  (12 GB RAM)",4.2,"...phone 3 month plus.May opinion is--1.Camera quality good,but zoom photo quality bad.2. Battery life 1 day like 5000mh.3.DisplayREAD MORE"
"Motorola g64 5G (Berry Red, 256 GB)  (12 GB RAM)",4.2,...Camera qualityPubgPerformance Every thing is goodREAD MORE
"Motorola g64 5G (Berry Red, 256 GB)  (12 GB RAM)",4.2,...Even if you got huge discount then also. Camera quality is VGA. battery backup is not even half day. WorstREAD MORE
"Motorola g64 5G (Berry Red, 256 GB)  (12 GB RAM)",4.2,"...Camera : very good, clicks beautiful picturesBattery : drains but fast maybe not optimisedREAD MORE"
